date,people_fully_vaccinated
01/14/21,1342086
01/15/21,1610524
01/16/21,1713674
01/17/21,1816824
01/18/21,1919974
01/19/21,2023124
01/20/21,2161419
01/21/21,2394961
01/22/21,2756953
01/23/21,3027865
01/24/21,3216836
01/25/21,3346390
01/26/21,3481921
01/27/21,3801053
01/28/21,4263056
01/29/21,4780888
01/30/21,5259693
01/31/21,5657142
02/01/21,5927847
02/02/21,6064792
02/03/21,6436931
02/04/21,6926050
02/05/21,7503864
02/06/21,8317180
02/07/21,9147185
02/08/21,9518015
02/09/21,9840429
02/10/21,10469514
02/11/21,11188782
02/12/21,12085830
02/13/21,13082172
02/14/21,14077440
02/15/21,14546437
02/16/21,15015434
02/17/21,15471536
02/18/21,16162358
02/19/21,17039118
02/20/21,17895667
02/21/21,18865319
02/22/21,19438495
02/23/21,19882544
02/24/21,20607261
02/25/21,21555117
02/26/21,22613359
02/27/21,23698627
02/28/21,24779920
03/01/21,25466405
03/02/21,26162122
03/03/21,26957804
03/04/21,27795980
03/05/21,28701201
03/06/21,29776160
03/07/21,30686881
03/08/21,31493040
03/09/21,32102061
03/10/21,32904161
03/11/21,33863127
03/12/21,35000159
03/13/21,36929777
03/14/21,37459269
03/15/21,38335432
03/16/21,39042345
03/17/21,39989196
03/18/21,40981464
03/19/21,41934629
03/20/21,43036818
03/21/21,44141228
03/22/21,44910946
03/23/21,45533962
03/24/21,46365515
03/25/21,47419832
03/26/21,48695172
03/27/21,50141769
03/28/21,51593564
03/29/21,52614231
03/30/21,53423486
03/31/21,54607041
04/01/21,56089614
04/02/21,57984785
04/03/21,59858146
04/04/21,61416536
04/05/21,62392065
04/06/21,63016976
04/07/21,64422618
04/08/21,66203123
04/09/21,68202458
04/10/21,70692645
04/11/21,72630892
04/12/21,74066085
04/13/21,75322283
04/14/21,76681252
04/15/21,78498290
04/16/21,80609818
04/17/21,82471151
04/18/21,84263408
04/19/21,85365180
04/20/21,86223506
04/21/21,87592646
04/22/21,89245776
04/23/21,91175995
04/24/21,93078040
04/25/21,94772329
