"","state","Cases","Deaths","state.rate"
"1","Alaska",69826,352,0.5
"2","Utah",406895,2308,0.57
"3","Virgin Islands",3512,28,0.8
"4","Vermont",24240,255,1.05
"5","Nebraska",223517,2385,1.07
"6","Idaho",192704,2103,1.09
"7","Northern Mariana Islands",183,2,1.09
"8","Wisconsin",675152,7923,1.17
"9","Wyoming",60543,720,1.19
"10","Colorado",547961,6746,1.23
"11","Maine",67986,837,1.23
"12","Minnesota",601974,7530,1.25
"13","North Carolina",1004699,13147,1.31
"14","Washington",440486,5866,1.33
"15","Oregon",202286,2711,1.34
"16","New Hampshire",98840,1354,1.37
"17","North Dakota",110129,1546,1.4
"18","Hawaii",35152,498,1.42
"19","Montana",112236,1627,1.45
"20","Puerto Rico",172414,2512,1.46
"21","Tennessee",849162,12372,1.46
"22","Delaware",108957,1668,1.53
"23","Guam",9162,140,1.53
"24","Kentucky",461055,7127,1.55
"25","Missouri",616864,9718,1.58
"26","Florida",2329859,36972,1.59
"27","Oklahoma",453400,7316,1.61
"28","Kansas",316287,5115,1.62
"29","Iowa",371761,6065,1.63
"30","South Dakota",124242,2020,1.63
"31","South Carolina",593628,9739,1.64
"32","Virginia",676041,11216,1.66
"33","California",3793055,63345,1.67
"34","Arkansas",341889,5842,1.71
"35","Nevada",325031,5599,1.72
"36","West Virginia",162111,2807,1.73
"37","Texas",2957710,51798,1.75
"38","Rhode Island",151936,2715,1.79
"39","Ohio",1103380,19923,1.81
"40","Illinois",1387795,25265,1.82
"41","Indiana",749027,13657,1.82
"42","Georgia",1100366,20238,1.84
"43","Arizona",882691,17653,2
"44","Alabama",545028,11188,2.05
"45","Michigan",992221,20470,2.06
"46","Maryland",460406,9626,2.09
"47","New Mexico",203330,4275,2.1
"48","Louisiana",472617,10605,2.24
"49","Pennsylvania",1208879,27349,2.26
"50","Mississippi",318048,7324,2.3
"51","District of Columbia",49041,1136,2.32
"52","Connecticut",347748,8245,2.37
"53","New York",2102003,52811,2.51
"54","Massachusetts",707523,17893,2.53
"55","New Jersey",1017044,26253,2.58
